iteration,replay_size,policy_loss,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,12288,2.8678142484277487,0.35911560873501003,,,
2,24576,2.791377325542271,0.3520607859827578,,,
3,36864,2.7556127500202923,0.33898260990261203,,,
4,49152,2.7107919106880822,0.3219254081098673,,,
5,50000,2.62676466213451,0.29611675447942964,0.6666666666666666,0.0,0.3333333333333333
6,50000,2.5723929226627424,0.28179825205599146,,,
7,50000,2.4921314737708253,0.2641622995130155,,,
8,50000,2.4398959183662403,0.26425729655731045,,,
9,50000,2.367980275737186,0.25568661087510985,,,
10,50000,2.3250823912333587,0.24954565411741236,0.4166666666666667,0.0,0.5833333333333334
11,50000,2.2998852928988303,0.23626664668684122,,,
12,50000,2.278140823300761,0.21304523388803884,,,
13,50000,2.2734216050210287,0.20499163154612812,,,
14,50000,2.2340364447781735,0.19328136785401845,,,
15,50000,2.206964772657304,0.17493226578835966,0.75,0.0,0.25
16,50000,2.2013466306288323,0.1883830639107985,,,
17,50000,2.2030684859438225,0.20747447672339392,,,
18,50000,2.190558645545139,0.2098187259821729,,,
19,50000,2.1906933631084944,0.22527980022180097,,,
20,50000,2.166936493103086,0.2273849699331421,0.6666666666666666,0.0,0.3333333333333333
21,50000,2.1232791328552287,0.20242183957434953,,,
22,50000,2.0973947208455828,0.21642388173148858,,,
23,50000,2.094440268340703,0.22312755964782266,,,
24,50000,2.0582789384143454,0.2116392942505594,,,
25,50000,2.0703408565472396,0.23039690266087862,0.3333333333333333,0.0,0.6666666666666666
26,50000,2.064546301255,0.21574703005837723,,,
27,50000,2.06580948684646,0.20410511116574728,,,
28,50000,2.0967442132294103,0.22322140860630058,,,
29,50000,2.070527205088685,0.19868303991963898,,,
30,50000,2.0688481394215827,0.18108354304963664,0.6666666666666666,0.0,0.3333333333333333
