iteration,n_transitions,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,2279,0.14847536385059357,,,
2,1882,0.9704747200012207,,,
3,2061,0.18566660583019257,,,
4,2226,0.160378098487854,,,
5,2494,0.1131792962551117,0.0,0.0,1.0
6,2521,0.12389851361513138,,,
7,2541,0.1044493094086647,,,
8,2500,0.10010784864425659,,,
9,2386,0.10399441421031952,,,
10,2278,0.10866864025592804,0.0,0.0,1.0
11,2190,0.11526825278997421,,,
12,2142,0.11932429671287537,,,
13,2169,0.11240153759717941,,,
14,2007,0.12439224123954773,,,
15,1782,0.13375993072986603,0.0,0.0,1.0
16,1875,0.12861813604831696,,,
17,2012,0.12289885431528091,,,
18,2080,0.11896080523729324,,,
19,1978,0.12504194676876068,,,
20,2132,0.11546816676855087,0.0,0.0,1.0
21,2096,0.11770586669445038,,,
22,2024,0.12208226323127747,,,
23,1951,0.12689588963985443,,,
24,1938,0.1270783245563507,,,
25,1846,0.1328599750995636,0.0,0.0,1.0
26,1934,0.12708187103271484,,,
27,1864,0.1325138360261917,,,
28,1847,0.13314254581928253,,,
29,1867,0.13284894824028015,,,
30,1724,0.14317214488983154,0.0,0.0,1.0
31,1965,0.12587839365005493,,,
32,1960,0.12566356360912323,,,
33,1929,0.1276329606771469,,,
34,1831,0.13484695553779602,,,
35,1847,0.1330258846282959,0.0,0.0,1.0
36,1813,0.13583792746067047,,,
37,1837,0.13502708077430725,,,
38,1776,0.13903702795505524,,,
39,1778,0.1385711282491684,,,
40,1683,0.14620627462863922,0.0,0.0,1.0
